collection_slug	category	gutenberg_id	slug	title	author	language	page_url	epub_url	selection_note
Gutenberg_Fiction	Fiction	768	768_wuthering_heights	Wuthering Heights	Emily Bronte	en	https://www.gutenberg.org/ebooks/768	https://www.gutenberg.org/ebooks/768.epub3.images	Standard text edition.
Gutenberg_Fiction	Fiction	145	145_middlemarch	Middlemarch	George Eliot	en	https://www.gutenberg.org/ebooks/145	https://www.gutenberg.org/ebooks/145.epub3.images	Long multi-part novel.
Gutenberg_Fiction	Fiction	37106	37106_little_women	Little Women; Or, Meg, Jo, Beth, and Amy	Louisa May Alcott	en	https://www.gutenberg.org/ebooks/37106	https://www.gutenberg.org/ebooks/37106.epub3.images	Illustrated edition.
Gutenberg_Fiction	Fiction	21839	21839_sense_and_sensibility	Sense and Sensibility	Jane Austen	en	https://www.gutenberg.org/ebooks/21839	https://www.gutenberg.org/ebooks/21839.epub3.images	Illustrated and commented edition; intentionally richer than record 161.
Gutenberg_Fiction	Fiction	2641	2641_a_room_with_a_view	A Room with a View	E. M. Forster	en	https://www.gutenberg.org/ebooks/2641	https://www.gutenberg.org/ebooks/2641.epub3.images	Twentieth-century novel.
Gutenberg_Fiction	Fiction	1400	1400_great_expectations	Great Expectations	Charles Dickens	en	https://www.gutenberg.org/ebooks/1400	https://www.gutenberg.org/ebooks/1400.epub3.images	Long chaptered novel.
Gutenberg_Fiction	Fiction	1661	1661_the_adventures_of_sherlock_holmes	The Adventures of Sherlock Holmes	Arthur Conan Doyle	en	https://www.gutenberg.org/ebooks/1661	https://www.gutenberg.org/ebooks/1661.epub3.images	Story collection.
Gutenberg_Fiction	Fiction	2852	2852_the_hound_of_the_baskervilles	The Hound of the Baskervilles	Arthur Conan Doyle	en	https://www.gutenberg.org/ebooks/2852	https://www.gutenberg.org/ebooks/2852.epub3.images	Mystery novel.
Gutenberg_Fiction	Fiction	863	863_the_mysterious_affair_at_styles	The Mysterious Affair at Styles	Agatha Christie	en	https://www.gutenberg.org/ebooks/863	https://www.gutenberg.org/ebooks/863.epub3.images	Detective novel; US public-domain record.
Gutenberg_Fiction	Fiction	583	583_the_woman_in_white	The Woman in White	Wilkie Collins	en	https://www.gutenberg.org/ebooks/583	https://www.gutenberg.org/ebooks/583.epub3.images	Long multi-narrator mystery.
Gutenberg_Fiction	Fiction	1695	1695_the_man_who_was_thursday	The Man Who Was Thursday: A Nightmare	G. K. Chesterton	en	https://www.gutenberg.org/ebooks/1695	https://www.gutenberg.org/ebooks/1695.epub3.images	Philosophical thriller.
Gutenberg_Fiction	Fiction	103	103_around_the_world_in_eighty_days	Around the World in Eighty Days	Jules Verne; translated by George Makepeace Towle	en	https://www.gutenberg.org/ebooks/103	https://www.gutenberg.org/ebooks/103.epub3.images	English translation.
Gutenberg_Fiction	Fiction	120	120_treasure_island	Treasure Island	Robert Louis Stevenson	en	https://www.gutenberg.org/ebooks/120	https://www.gutenberg.org/ebooks/120.epub3.images	Illustrated adventure.
Gutenberg_Fiction	Fiction	55	55_the_wonderful_wizard_of_oz	The Wonderful Wizard of Oz	L. Frank Baum	en	https://www.gutenberg.org/ebooks/55	https://www.gutenberg.org/ebooks/55.epub3.images	Illustrated children's fantasy.
Gutenberg_Fiction	Fiction	271	271_black_beauty	Black Beauty	Anna Sewell	en	https://www.gutenberg.org/ebooks/271	https://www.gutenberg.org/ebooks/271.epub3.images	Popular episodic novel.
Gutenberg_Fiction	Fiction	1184	1184_the_count_of_monte_cristo	The Count of Monte Cristo	Alexandre Dumas and Auguste Maquet	en	https://www.gutenberg.org/ebooks/1184	https://www.gutenberg.org/ebooks/1184.epub3.images	Very long English translation.
Gutenberg_Fiction	Fiction	2701	2701_moby_dick	Moby Dick; Or, The Whale	Herman Melville	en	https://www.gutenberg.org/ebooks/2701	https://www.gutenberg.org/ebooks/2701.epub3.images	Very long novel with varied chapter forms.
Gutenberg_Fiction	Fiction	2554	2554_crime_and_punishment	Crime and Punishment	Fyodor Dostoyevsky; translated by Constance Garnett	en	https://www.gutenberg.org/ebooks/2554	https://www.gutenberg.org/ebooks/2554.epub3.images	English translation.
Gutenberg_Fiction	Fiction	829	829_gullivers_travels	Gulliver's Travels into Several Remote Nations of the World	Jonathan Swift	en	https://www.gutenberg.org/ebooks/829	https://www.gutenberg.org/ebooks/829.epub3.images	Multi-part satirical fiction.
Gutenberg_Drama_and_Poetry	Drama and Poetry	2542	2542_a_dolls_house	A Doll's House	Henrik Ibsen; translated by R. Farquharson Sharp	en	https://www.gutenberg.org/ebooks/2542	https://www.gutenberg.org/ebooks/2542.epub3.images	Play with acts and dialogue.
Gutenberg_Drama_and_Poetry	Drama and Poetry	1727	1727_the_odyssey	The Odyssey	Homer; translated by Samuel Butler	en	https://www.gutenberg.org/ebooks/1727	https://www.gutenberg.org/ebooks/1727.epub3.images	English prose translation.
Gutenberg_Drama_and_Poetry	Drama and Poetry	1513	1513_romeo_and_juliet	Romeo and Juliet	William Shakespeare	en	https://www.gutenberg.org/ebooks/1513	https://www.gutenberg.org/ebooks/1513.epub3.images	Acts, scenes, speakers, and verse.
Gutenberg_Drama_and_Poetry	Drama and Poetry	16328	16328_beowulf	Beowulf: An Anglo-Saxon Epic Poem	Anonymous; translated by J. Lesslie Hall	en	https://www.gutenberg.org/ebooks/16328	https://www.gutenberg.org/ebooks/16328.epub3.images	English verse translation.
Gutenberg_Politics_and_Society	Politics and Society	3420	3420_a_vindication_of_the_rights_of_woman	A Vindication of the Rights of Woman	Mary Wollstonecraft	en	https://www.gutenberg.org/ebooks/3420	https://www.gutenberg.org/ebooks/3420.epub3.images	Foundational feminist political argument.
Gutenberg_Politics_and_Society	Politics and Society	1497	1497_the_republic	The Republic	Plato; translated by Benjamin Jowett	en	https://www.gutenberg.org/ebooks/1497	https://www.gutenberg.org/ebooks/1497.epub3.images	Foundational political philosophy in dialogue form.
Gutenberg_Politics_and_Society	Politics and Society	1232	1232_the_prince	The Prince	Niccolo Machiavelli; translated by W. K. Marriott	en	https://www.gutenberg.org/ebooks/1232	https://www.gutenberg.org/ebooks/1232.epub3.images	Political power and statecraft.
Gutenberg_Politics_and_Society	Politics and Society	3207	3207_leviathan	Leviathan	Thomas Hobbes	en	https://www.gutenberg.org/ebooks/3207	https://www.gutenberg.org/ebooks/3207.epub3.images	Foundational social-contract theory.
Gutenberg_Politics_and_Society	Politics and Society	34901	34901_on_liberty	On Liberty	John Stuart Mill	en	https://www.gutenberg.org/ebooks/34901	https://www.gutenberg.org/ebooks/34901.epub3.images	Classic argument about freedom and social authority.
Gutenberg_Politics_and_Society	Politics and Society	3300	3300_the_wealth_of_nations	An Inquiry into the Nature and Causes of the Wealth of Nations	Adam Smith	en	https://www.gutenberg.org/ebooks/3300	https://www.gutenberg.org/ebooks/3300.epub3.images	Foundational economics; Gutenberg Best Books and Harvard Classics selection.
Gutenberg_Politics_and_Society	Politics and Society	61	61_the_communist_manifesto	The Communist Manifesto	Karl Marx and Friedrich Engels	en	https://www.gutenberg.org/ebooks/61	https://www.gutenberg.org/ebooks/61.epub3.images	Historically central political and economic text.
Gutenberg_Politics_and_Society	Politics and Society	18	18_the_federalist_papers	The Federalist Papers	Alexander Hamilton, James Madison, and John Jay	en	https://www.gutenberg.org/ebooks/18	https://www.gutenberg.org/ebooks/18.epub3.images	Pin maintained record 18 over duplicate record 1404; 85 addressable essays.
Gutenberg_Politics_and_Society	Politics and Society	147	147_common_sense	Common Sense	Thomas Paine	en	https://www.gutenberg.org/ebooks/147	https://www.gutenberg.org/ebooks/147.epub3.images	Short influential political argument.
Gutenberg_Politics_and_Society	Politics and Society	132	132_the_art_of_war	The Art of War	Sunzi; translated by Lionel Giles	en	https://www.gutenberg.org/ebooks/132	https://www.gutenberg.org/ebooks/132.epub3.images	Compact section-based military and strategic thought.
Gutenberg_Politics_and_Society	Politics and Society	205	205_walden_and_civil_disobedience	Walden, and On the Duty of Civil Disobedience	Henry David Thoreau	en	https://www.gutenberg.org/ebooks/205	https://www.gutenberg.org/ebooks/205.epub3.images	Record 205 contains both works; do not also add duplicate record 71.
Gutenberg_Philosophy_and_Psychology	Philosophy and Psychology	2680	2680_meditations	Meditations	Marcus Aurelius	en	https://www.gutenberg.org/ebooks/2680	https://www.gutenberg.org/ebooks/2680.epub3.images	Fragment-like numbered sections.
Gutenberg_Philosophy_and_Psychology	Philosophy and Psychology	5827	5827_the_problems_of_philosophy	The Problems of Philosophy	Bertrand Russell	en	https://www.gutenberg.org/ebooks/5827	https://www.gutenberg.org/ebooks/5827.epub3.images	Accessible introduction to epistemology and metaphysics.
Gutenberg_Philosophy_and_Psychology	Philosophy and Psychology	621	621_the_varieties_of_religious_experience	The Varieties of Religious Experience	William James	en	https://www.gutenberg.org/ebooks/621	https://www.gutenberg.org/ebooks/621.epub3.images	Major work spanning psychology, philosophy, and religion.
Gutenberg_Philosophy_and_Psychology	Philosophy and Psychology	66048	66048_the_interpretation_of_dreams	The Interpretation of Dreams	Sigmund Freud; translated by A. A. Brill	en	https://www.gutenberg.org/ebooks/66048	https://www.gutenberg.org/ebooks/66048.epub3.images	Historically important work of psychology.
Gutenberg_Science_and_Nature	Science, Nature, and Mathematics	1228	1228_on_the_origin_of_species_1859	On the Origin of Species	Charles Darwin	en	https://www.gutenberg.org/ebooks/1228	https://www.gutenberg.org/ebooks/1228.epub3.images	1859 first edition; chosen over later records 22764 and 2009.
Gutenberg_Science_and_Nature	Science, Nature, and Mathematics	944	944_the_voyage_of_the_beagle	The Voyage of the Beagle	Charles Darwin	en	https://www.gutenberg.org/ebooks/944	https://www.gutenberg.org/ebooks/944.epub3.images	Scientific observation, travel, geology, and natural history.
Gutenberg_Science_and_Nature	Science, Nature, and Mathematics	2300	2300_the_descent_of_man	The Descent of Man, and Selection in Relation to Sex	Charles Darwin	en	https://www.gutenberg.org/ebooks/2300	https://www.gutenberg.org/ebooks/2300.epub3.images	Historically important evolutionary argument with dated claims requiring context.
Gutenberg_Science_and_Nature	Science, Nature, and Mathematics	5001	5001_relativity	Relativity: The Special and General Theory	Albert Einstein; translated by Robert W. Lawson	en	https://www.gutenberg.org/ebooks/5001	https://www.gutenberg.org/ebooks/5001.epub3.images	Landmark physics written for a general audience.
Gutenberg_Science_and_Nature	Science, Nature, and Mathematics	33283	33283_calculus_made_easy	Calculus Made Easy	Silvanus P. Thompson	en	https://www.gutenberg.org/ebooks/33283	https://www.gutenberg.org/ebooks/33283.epub3.images	Accessible classic introduction to differential and integral calculus.
Gutenberg_History_and_Memoir	History and Memoir	23	23_narrative_of_the_life_of_frederick_douglass	Narrative of the Life of Frederick Douglass, an American Slave	Frederick Douglass	en	https://www.gutenberg.org/ebooks/23	https://www.gutenberg.org/ebooks/23.epub3.images	Foundational autobiography and testimony.
Gutenberg_History_and_Memoir	History and Memoir	11030	11030_incidents_in_the_life_of_a_slave_girl	Incidents in the Life of a Slave Girl, Written by Herself	Harriet A. Jacobs	en	https://www.gutenberg.org/ebooks/11030	https://www.gutenberg.org/ebooks/11030.epub3.images	Autobiography with editorial matter.
Gutenberg_History_and_Memoir	History and Memoir	408	408_the_souls_of_black_folk	The Souls of Black Folk	W. E. B. Du Bois	en	https://www.gutenberg.org/ebooks/408	https://www.gutenberg.org/ebooks/408.epub3.images	Essay collection; record 408 is text while record 28844 is audio.
Gutenberg_History_and_Memoir	History and Memoir	7142	7142_the_history_of_the_peloponnesian_war	The History of the Peloponnesian War	Thucydides; translated by Richard Crawley	en	https://www.gutenberg.org/ebooks/7142	https://www.gutenberg.org/ebooks/7142.epub3.images	Foundational political and military history.
Gutenberg_History_and_Memoir	History and Memoir	148	148_the_autobiography_of_benjamin_franklin	The Autobiography of Benjamin Franklin	Benjamin Franklin	en	https://www.gutenberg.org/ebooks/148	https://www.gutenberg.org/ebooks/148.epub3.images	Pin the simpler Harvard Classics record 148 over illustrated record 20203.
Gutenberg_History_and_Memoir	History and Memoir	2376	2376_up_from_slavery	Up from Slavery: An Autobiography	Booker T. Washington	en	https://www.gutenberg.org/ebooks/2376	https://www.gutenberg.org/ebooks/2376.epub3.images	Major African American autobiography and historical document.
Gutenberg_History_and_Memoir	History and Memoir	15399	15399_the_interesting_narrative_of_olaudah_equiano	The Interesting Narrative of the Life of Olaudah Equiano	Olaudah Equiano	en	https://www.gutenberg.org/ebooks/15399	https://www.gutenberg.org/ebooks/15399.epub3.images	Foundational firsthand account of enslavement and abolition.
